Titulo,Atores,Diretores,Generos
We Still Kill the Old Way (2014),,Sacha Bennett,Action:Comedy:Crime:Drama:Thriller
True Confessions (1981),,Ulu Grosbard,Crime:Drama
The Road to Wellville (1994),,Alan Parker,Comedy:Drama
The Wind Journeys (2009),,Ciro Guerra,Drama:Music
Rupture (2016),,Steven Shainberg,Horror:Sci-Fi:Thriller
Pal Joey (1957),,George Sidney,Drama:Musical:Romance
Syrup (2013),,Aram Rappaport,Comedy:Drama:Romance
Baar Baar Dekho (2016),,Nitya Mehra,Action:Comedy:Drama:Romance:Sci-Fi
Dear Comrade (2019),,Bharat Kamma,Action:Drama:Romance
Sister My Sister (1994),,Nancy Meckler,Drama:Thriller
Bad Ass (2012),,Craig Moss,Action:Comedy:Crime:Drama
Mystify: Michael Hutchence (2019),,Richard Lowenstein,Documentary:Biography:Music
Hatchet II (2010),,Adam Green,Action:Comedy:Horror:Thriller
Flowers in the Attic (1987),,Deborah Chow,Drama:Horror:Mystery:Thriller
These Girls (2005),,John Hazlett,Comedy:Drama
In the Blood (2014),,John Stockwell,Action:Crime:Thriller
Being Charlie (2015),,Rob Reiner,Drama:Romance
Sherlock Holmes and the Secret Weapon (1942),,Roy William Neill,Adventure:Crime:Drama:Mystery:Thriller
Creative Control (2016),,Benjamin Dickinson,Drama:Sci-Fi
One Small Hitch (2013),,John Burgess,Comedy:Romance
Lady Jane (1986),,Trevor Nunn,Biography:Drama:History:Romance
Hans Christian Andersen (1952),,Charles Vidor,Biography:Family:Musical:Romance
Rendez-Vous (2015),,Antoinette Beumer,Drama:Romance
Milk Money (1994),,Richard Benjamin,Comedy:Romance
Madea Goes to Jail (2009),,Tyler Perry,Comedy:Crime:Drama
An American Rhapsody (2001),,Éva Gárdos,Drama
Juggernaut (1974),,Lee Tamahori,Action:Adventure:Thriller
Suck (2009),,Rob Stefaniuk,Comedy:Horror:Music
Ulee's Gold (1997),,Victor Nunez,Drama
Ronal the Barbarian (2011),,Kresten Vestbjerg Andersen:Thorbjørn Christoffersen:Philip Einstein Lipski,Animation:Adventure:Comedy:Family:Fantasy
Dark River (2018),,Clio Barnard,Drama:Mystery:Thriller
Something from Nothing: The Art of Rap (2012),,Ice-T:Andy Baybutt,Documentary:Music
A Farewell to Arms (1932),,Frank Borzage,Drama:Romance:War
Michael Jordan: Come Fly with Me (1989),,David Gavant,Documentary:Short:Sport
Ray Harryhausen: Special Effects Titan (2011),,Gilles Penso,Documentary:Biography
Schweigeminute (2016),,Thorsten Schmidt,Drama:Romance
Out of the Blue (2002),,Dennis Hopper,Drama
Jiang Ziya: The Legend of Deification (2020),,Teng Cheng:Li Wei,Animation:Action:Adventure:Drama:Family:Fantasy
Miss Meadows (2014),,Karen Leigh Hopkins,Comedy:Crime:Drama:Romance:Thriller
Wildlike (2015),,Frank Hall Green,Adventure:Drama:Thriller
The Falls (2012),,Jon Garcia,Drama:Romance
Transit (2012),,Christian Petzold,Drama:Sci-Fi
Landline (2017),,Gillian Robespierre,Comedy:Drama
Replicant (2001),,Ringo Lam,Action:Sci-Fi:Thriller
Robin Hood (1922),,Ridley Scott,Action:Adventure:Drama:History
The Beautician and the Beast (1997),,Ken Kwapis,Comedy:Romance
Mambo Italiano (2003),,Émile Gaudreault,Comedy:Drama:Romance
Choose Me (1984),,Alan Rudolph,Comedy:Drama:Romance
American Grindhouse (2011),,Elijah Drenner,Documentary:Action:Comedy:History:Horror
Small Apartments (2012),,Jonas Åkerlund,Comedy:Crime:Drama
Maharshi (2019),,Vamshi Paidipally,Action:Drama
The Alibi (2006),,Matt Checkowski:Kurt Mattila,Comedy:Drama:Romance
Slackers (2002),,Dewey Nicks,Comedy:Romance
Wind (1992),,Carroll Ballard,Action:Drama:Sport
Ong Bak 3 (2010),,Tony Jaa:Panna Rittikrai,Action
The Adventures of Mark Twain (1985),,Will Vinton,Animation:Adventure:Family:Fantasy:Sci-Fi
The Invisibles (2017),,Claus Räfle,Biography:Drama:History:War
Tuff Turf (1985),,Fritz Kiersch,Action:Comedy:Drama
Army of One (2016),,Stephen Durham,Action
Gotti (2018),,Kevin Connolly,Biography:Crime:Drama
East Side Sushi (2014),,Anthony Lucero,Drama
Dance of the Dead (2008),,Gregg Bishop,Action:Comedy:Horror:Sci-Fi
Blood Fest (2018),,Owen Egerton,Comedy:Horror
Mere Brother Ki Dulhan (2011),,Ali Abbas Zafar,Comedy:Drama:Family:Romance
The Intervention (2016),,Clea DuVall,Comedy:Drama
Doug Stanhope: No Refunds (2007),,Milton Lage,Documentary:Comedy
Hostile (2018),,Ilya Naishuller,Action:Adventure:Sci-Fi:Thriller
Tamara (2005),,Jeremy Haft,Drama:Fantasy:Horror:Thriller
Never Grow Old (2019),,Ivan Kavanagh,Drama:Western
Chhalaang (2020),,Hansal Mehta,Comedy:Drama
Force of Nature (2020),,Michael Polish,Action:Crime:Drama:Thriller
Clan of the White Lotus (1980),,Lieh Lo,Action:Drama
Fort Bliss (2014),,Claudia Myers,Drama:War
Kabhi Kabhie (1976),,Syed Wazir Ali,Drama
The Grand Tour Presents: A Massive Hunt (2020),,Phil Churchward,Comedy:Talk-Show
Cyberbully (2011),,Charles Binamé,Drama
Kadhalil Sodhappuvadhu Yeppadi (2012),,Balaji Mohan,Comedy:Romance
The Burrowers (2008),,J.T. Petty,Horror:Thriller:Western
Mujhse Dosti Karoge! (2002),,Kunal Kohli,Comedy:Drama:Family:Musical:Romance
Survival of the Dead (2010),,George A. Romero,Comedy:Drama:Horror:Thriller
Sharkwater Extinction (2018),,Rob Stewart,Documentary
Bhoomi (2017),,Lakshman,Action:Drama
Golmaal - Fun Unlimited (2006),,Rohit Shetty,Action:Comedy:Drama
Kid with the Golden Arm (1979),,nan,Comedy:Horror:Mystery:Talk-Show:Thriller
The Blue Gardenia (1953),,Fritz Lang,Crime:Drama:Film-Noir:Mystery:Thriller
Precious Cargo (2016),,Max Adams,Action:Comedy:Thriller
FairyTale: A True Story (1997),,Charles Sturridge,Drama:Family:Fantasy:Mystery
Submergence (2017),,Wim Wenders,Drama:Romance:Thriller
Trouble the Water (2008),,Carl Deal:Tia Lessin,Documentary
Mashaal (1984),,Yash Chopra,Action:Drama:Family
Apartment 143 (2011),,Carles Torrens,Horror:Thriller
Sebastian Maniscalco: Aren't You Embarrassed? (2014),,John Asher,Documentary:Comedy
The Big Brawl (1980),,Robert Clouse,Action:Comedy:Crime
Song One (2014),,Kate Barker-Froyland,Drama:Music:Romance
The Adventures of Elmo in Grouchland (1999),,Gary Halvorson,Adventure:Comedy:Family:Fantasy:Musical
"Tad, the Lost Explorer, and the Secret of King Midas (2017)",,David Alonso:Enrique Gato,Animation:Adventure:Comedy:Family:Fantasy
Low Tide (2019),,Kevin McMullin,Drama:Thriller
Gordon Lightfoot: If You Could Read My Mind (2019),,Martha Kehoe:Joan Tosoni,Documentary:Biography:Music
Jack and Jill (2011),,Dennis Dugan,Comedy
A LEGO Brickumentary (2014),,Kief Davidson:Daniel Junge,Documentary
Greenfingers (2001),,Joel Hershman,Comedy:Crime:Romance
The Jazz Singer (1980),,Richard Fleischer:Sidney J. Furie,Drama:Music:Romance
Theri (2016),,Atlee Kumar,Action:Drama:Thriller
Lapland Odyssey (2010),,Dome Karukoski,Comedy:Drama:Romance
Crimes of the Heart (1986),,Bruce Beresford,Comedy:Drama
Black's Game (2012),,Óskar Thór Axelsson,Crime:Thriller
Generation Wealth (2018),,Lauren Greenfield,Documentary
Sidekicks (1992),,Aaron Norris,Action:Adventure:Comedy:Drama
Rendezvous in Paris (1995),,Éric Rohmer,Comedy:Romance
M.F.A. (2017),,Natalia Leite,Drama:Horror:Thriller
Five Fingers of Death (1972),,Chang-hwa Jeong,Action:Drama:Romance
Dhoom 3 (2013),,Vijay Krishna Acharya,Action:Crime:Thriller
White Lightning (1973),,Joseph Sargent,Action:Crime:Drama
Gulliver's Travels (1939),,Rob Letterman,Adventure:Comedy:Family:Fantasy
The Woman in Green (1945),,Roy William Neill,Drama:Mystery
Bravetown (2015),,Daniel Duran,Drama:Music
Hotel Coolgardie (2016),,Pete Gleeson,Documentary
Mary J. Blige's My Life (2021),,Vanessa Roth,Documentary
Sometimes Always Never (2019),,Carl Hunter,Comedy:Drama:Mystery
Valentine Road (2013),,Marta Cunningham,Documentary:Crime
Terror by Night (1946),,Roy William Neill,Crime:Drama:Film-Noir:Mystery:Thriller
In Dubious Battle (2017),,James Franco,Crime:Drama:History:Thriller:Western
Gamera 2: Attack of the Legion (1996),,Shûsuke Kaneko,Action:Fantasy:Sci-Fi
The Lady Without Camelias (1953),,Michelangelo Antonioni,Drama
In Syria (2017),,Philippe Van Leeuw,Drama:War
Falcon Rising (2014),,Ernie Barbarash,Action:Adventure:Crime:Thriller
Pawn Shop Chronicles (2013),,Wayne Kramer,Action:Comedy:Crime
The Adventurer: The Curse of the Midas Box (2013),,Jonathan Newman,Adventure:Family:Fantasy
Superfast! (2015),,Jason Friedberg:Aaron Seltzer,Comedy
Exposed (2016),,Gee Malik Linton,Crime:Drama:Mystery:Thriller
Robinson Crusoe (1954),,Rod Hardy:George Miller,Adventure:Drama
Deiva Thirumagal (2011),,A.L. Vijay,Drama
Still Mine (2012),,Michael McGowan,Drama
"Scotland, PA (2001)",,Billy Morrissette,Comedy:Crime
Jim Gaffigan: Noble Ape (2018),,Jeannie Gaffigan,Comedy
The Stolen Princess (2018),,Oleh Malamuzh,Animation:Comedy:Family:Fantasy
Father of Invention (2010),,Trent Cooper,Comedy:Drama
Sye Raa Narasimha Reddy (2019),,Surender Reddy,Action:Adventure:Drama:History
Amateur Night (2016),,Matt Bettinelli-Olpin:David Bruckner:Tyler Gillett:Justin Martinez:Glenn McQuaid:Radio Silence:Joe Swanberg:Chad Villella:Ti West:Adam Wingard,Horror:Thriller
Jim Gaffigan: Quality Time (2019),,Jeannie Gaffigan,Comedy
The German Doctor (2013),,Lucía Puenzo,Drama:History:Thriller
Chavela (2017),,Catherine Gund:Daresha Kyi,Documentary:Biography:History:Music
TEKKEN (2010),,Wei Lo,Action:Drama:Romance:Thriller
Lucky and Zorba (1998),,Enzo D'Alò,Animation:Comedy:Drama:Family:Musical
College (1927),,nan,Comedy
Beta Test (2016),,Nicholas Gyeney,Action:Sci-Fi:Thriller
Romeo & Juliet (2013),,Carlo Carlei,Drama:Romance
Möbius (2013),,Kim Ki-duk,Drama:Thriller
Fat Albert (2004),,Joel Zwick,Comedy:Family:Fantasy:Romance
In Dreams (1999),,Neil Jordan,Drama:Fantasy:Thriller
The Dead Center (2019),,Billy Senese,Horror:Mystery:Thriller
Counter Investigation (2007),,Franck Mancuso,Crime:Thriller
Missing 411: The Hunted (2019),,Michael DeGrazier,Documentary
The Kennel Murder Case (1933),,Michael Curtiz,Crime:Mystery
The Creeping Flesh (1973),,Freddie Francis,Horror:Sci-Fi
Imaikkaa Nodigal (2018),,R. Ajay Gnanamuthu,Action:Crime:Drama:Thriller
Casa De Mi Padre (2012),,Matt Piedmont,Comedy:Western
The Poison Rose (2019),,Francesco Cinquemani:George Gallo,Thriller
Diabolique (1996),,Henri-Georges Clouzot,Crime:Drama:Horror:Mystery:Thriller
The Owl and the Pussycat (1970),,Herbert Ross,Comedy:Romance
The Kindness of Strangers (2019),,Lone Scherfig,Drama
The Grand (2007),,Zak Penn,Comedy
Stratton (2017),,Simon West,Action:Thriller
Chick Fight (2021),,Paul Leyden,Action:Comedy:Drama:Sport
Jackie & Ryan (2014),,Ami Canaan Mann,Drama:Family:Music:Romance
The Red House (1947),,Delmer Daves,Drama:Film-Noir:Mystery:Thriller
Mankatha (2011),,Venkat Prabhu,Action:Crime:Thriller
The Lie (2018),,Veena Sud,Crime:Drama:Mystery:Thriller
Black Moon Rising (1986),,Harley Cokeliss,Action:Crime:Thriller
Contract Killer (1998),,James Gray,Crime:Drama
The Entitled (2011),,Aaron Woodley,Crime:Thriller
P!nk: All I Know So Far (2021),,Michael Gracey,Documentary:Biography:Music
Eye of the Beholder (1999),,Stephan Elliott,Drama:Mystery:Thriller
Close Encounters of the Fifth Kind (2020),,Michael Mazzola,Documentary
Whitey: United States of America v. James J. Bulger (2014),,Joe Berlinger,Documentary:Biography:Crime
Driving Licence (2019),,Jean Paul Lal,Comedy:Drama:Thriller
Repeaters (2010),,Carl Bessai,Action:Crime:Drama:Mystery:Sci-Fi:Thriller
Hello Guru Prema Kosame (2018),,Trinadha Rao Nakkina,Comedy:Romance
Fubar (2002),,Michael Dowse,Comedy:Music
Space Truckers (1996),,Stuart Gordon,Adventure:Comedy:Sci-Fi:Thriller
Dead Space: Aftermath (2010),,Mike Disa,Animation:Horror:Sci-Fi
Communion (1989),,Alfred Sole,Crime:Drama:Horror:Mystery:Thriller
The Flying Deuces (1939),,A. Edward Sutherland,Comedy:War
Gulabo Sitabo (2020),,Shoojit Sircar,Comedy:Drama
High School (2010),,John Stalberg Jr.,Comedy
Seven Days in Utopia (2011),,Matthew Dean Russell,Drama:Sport
Nancy (2018),,Christina Choe,Drama:Mystery
Despite the Falling Snow (2016),,Shamim Sarif,Drama:Mystery:Romance:Thriller
Heaven Adores You (2014),,Nickolas Dylan Rossi,Documentary:Biography:Drama:Music
Demon House (2018),,Zak Bagans,Documentary:Horror:Mystery:Thriller
Porky's II: The Next Day (1983),,Bob Clark,Comedy
A Bride for Christmas (2012),,Gary Yates,Comedy:Romance
Cowboy (1958),,Alastair Riddell,Drama:Romance
Tarzan (2013),,David Yates,Action:Adventure:Drama:Fantasy:Romance
Amish Grace (2010),,Gregg Champion,Biography:Drama
Shubh Mangal Zyada Saavdhan (2020),,Hitesh Kewalya,Comedy:Romance
Gascoigne (2015),,Jane Preston,Documentary:Biography:Sport
The King of Masks (1996),,Tian-Ming Wu,Drama
My Kid Could Paint That (2007),,Amir Bar-Lev,Documentary:Family:Mystery
Every Little Step (2008),,Adam Del Deo:James D. Stern,Documentary:Music
The Hiding Place (1975),,James F. Collier,Biography:Drama:History:War
The Boy Whose Skin Fell Off (2004),,Patrick Collerton,Documentary
Barry Munday (2010),,Chris D'Arienzo,Comedy:Drama:Romance
Sarileru Neekevvaru (2020),,Anil Ravipudi,Action:Comedy:Drama
Linsanity (2013),,Evan Jackson Leong,Documentary:Biography:Sport
Complete Unknown (2016),,Joshua Marston,Drama:Mystery
Dance Academy: The Movie (2017),,Jeffrey Walker,Drama
Cockfighter (1974),,Monte Hellman,Drama
The Bat (1959),,Crane Wilbur,Horror:Mystery:Thriller
The Yellow Birds (2017),,Alexandre Moors,Drama:War
Lovecraft: Fear of the Unknown (2008),,Frank H. Woodward,Documentary
Diana Vreeland: The Eye Has to Travel (2012),,Lisa Immordino Vreeland:Bent-Jorgen Perlmutt:Frédéric Tcheng,Documentary:Biography
Body of Evidence (1993),,nan,Comedy:Crime:Drama:Mystery
Wish You Were Here (2012),,Kieran Darcy-Smith,Drama:Mystery:Thriller
Sunshine State (2002),,John Sayles,Drama:Romance
The Statement (2003),,Norman Jewison,Thriller:Drama
Rampage: Capital Punishment (2014),,Uwe Boll,Action:Crime:Thriller
All Is Bright (2013),,Phil Morrison,Comedy:Drama
Girl in Progress (2012),,Patricia Riggen,Comedy:Drama
Cass (2008),,Jon S. Baird,Biography:Crime:Drama
Transylvania 6-5000 (1985),,Rudy De Luca,Comedy:Fantasy:Horror
Lost in the Sun (2015),,Trey Nelson,Action:Drama:Thriller
Gigantic (2008),,Matt Aselton,Comedy:Drama:Romance
Jappeloup (2013),,Christian Duguay,Biography:Drama:Sport
Trucker (2008),,James Mottern,Drama
Summer '03 (2018),,Becca Gleason,Comedy:Drama:Romance
Crips and Bloods: Made in America (2008),,Stacy Peralta,Documentary:Crime
Ishaqzaade (2012),,Habib Faisal,Action:Drama:Romance
Topper Returns (1941),,Roy Del Ruth,Comedy:Fantasy:Mystery:Romance
Jacknife (1989),,David Hugh Jones,Drama
Beyond The Sky (2018),,Fulvio Sestito,Mystery:Sci-Fi:Thriller
Sharknado (2013),,Anthony C. Ferrante,Action:Adventure:Comedy:Horror:Sci-Fi:Thriller
These Three (1936),,William Wyler,Drama:Romance
The Eclipse (2009),,Michelangelo Antonioni,Drama:Romance
Ninja III: The Domination (1984),,Sam Firstenberg,Action:Fantasy:Thriller
Kevin Smith: Silent but Deadly (2018),,Gil Cunha:Brian Volk-Weiss,Documentary:Comedy
Hawking (2013),,Philip Martin,Biography:Drama
Griff the Invisible (2011),,Leon Ford,Comedy:Drama:Romance:Sci-Fi
When Did You Last See Your Father? (2007),,Anand Tucker,Biography:Drama
You May Not Kiss the Bride (2011),,Rob Hedden,Action:Comedy:Crime:Romance
Sundown: The Vampire in Retreat (1989),,Anthony Hickox,Comedy:Horror:Western
Hiding Out (1987),,Bob Giraldi,Comedy:Drama:Romance:Thriller
Serious Moonlight (2009),,Cheryl Hines,Comedy:Crime:Romance
Spring Break (1983),,Sean S. Cunningham,Comedy:Romance
The Wild Blue Yonder (2005),,Werner Herzog,Sci-Fi
The Dead Lands (2014),,Toa Fraser,Action:Adventure
A Prince for Christmas (2015),,Fred Olen Ray,Comedy:Drama:Romance
My Blind Brother (2016),,Sophie Goodhart,Comedy:Drama:Romance
Death Machine (1994),,Stephen Norrington,Action:Horror:Sci-Fi:Thriller
Abigail (2019),,Aleksandr Boguslavskiy,Adventure:Fantasy
Alien Code (2017),,Michael G. Cooney,Mystery:Sci-Fi:Thriller
A Turtle's Tale 2: Sammy's Escape from Paradise (2012),,Vincent Kesteloot:Ben Stassen:Mimi Maynard,Animation:Adventure:Family
Jellyfish (2007),,James Gardner,Drama
Genevieve (1953),,Henry Cornelius,Comedy
Breathing Fire (1991),,Lou Kennedy:Brandon Pender:Brandon De-Wilde,Action:Drama
Yardie (2018),,Idris Elba,Crime:Drama
The Sheik (2014),,George Melford,Adventure:Drama:Romance
The Shaolin Temple (1982),,Hsin-Yen Chang,Action:Drama
12 Rounds 3: Lockdown (2015),,Stephen Reynolds,Action:Crime:Thriller
The Booksellers (2020),,D.W. Young,Documentary
Christmas Lodge (2011),,Terry Ingram,Comedy:Drama:Family:Romance
Trouble in Mind (1985),,Alan Rudolph,Comedy:Crime:Drama:Thriller
The VelociPastor (2018),,Brendan Steere,Action:Adventure:Comedy:Fantasy:Horror:Sci-Fi:Thriller
Capone (2020),,Josh Trank,Biography:Crime:Drama
Ride (2014),,Alex Ranarivelo,Action
15 Minutes of War (2019),,Fred Grivois,Action:Drama:History:War
Boarding School (2018),,Boaz Yakin,Horror:Mystery:Thriller
Catch Hell (2014),,Ryan Phillippe,Crime:Drama:Thriller
The Empire in Africa (2006),,Philippe Diaz,Documentary
True Colors (1991),,Herbert Ross,Drama
How to Fall in Love (2012),,Mark Griffiths,Comedy:Romance
Bharat (2019),,Ali Abbas Zafar,Action:Comedy:Drama
Ley Lines (1999),,Takashi Miike,Crime:Drama:Thriller
Outcast (2014),,nan,Drama:Horror
Big Top Pee-wee (1988),,Randal Kleiser,Adventure:Comedy:Romance
The Secret Diaries of Miss Anne Lister (2010),,James Kent,Biography:Drama:Romance
Jonestown: Paradise Lost (2007),,Tim Wolochatiuk,Documentary:Drama:History
Crown Heights (2017),,Matt Ruskin,Biography:Crime:Drama:Romance
Extremities (1986),,Robert M. Young,Drama:Thriller
White Tiger (2012),,Karen Shakhnazarov,Action:Adventure:Fantasy:War
Prescription Thugs (2016),,Chris Bell:Josh Alexander:Greg Young,Documentary
Digging to China (1997),,Timothy Hutton,Drama
Mountain Patrol (2004),,Chuan Lu,Action:Drama
Gamera 3: Revenge of Iris (1999),,Shûsuke Kaneko,Action:Fantasy:Horror:Sci-Fi
Changeland (2019),,Seth Green,Comedy:Drama
Our Town (1940),,Sam Wood,Drama:Romance
Faster (2003),,George Tillman Jr.,Action:Crime:Drama:Thriller
The Mark of Zorro (1920),,Rouben Mamoulian,Action:Adventure:Romance:Western
Andy Murray: Resurfacing (2019),,Olivia Cappuccini,Documentary
Night Tide (1961),,Curtis Harrington,Horror:Romance:Thriller
High Society (2014),,Charles Walters,Comedy:Musical:Romance
Chandramukhi (2005),,nan,Drama:Fantasy
The Night Watch (2011),,Jacques Becker,Crime:Drama:Thriller
Decoding Annie Parker (2014),,Steven Bernstein,Drama
If I Had Wings (2013),,Allan Harmon,Drama:Family:Sport
Message Man (2018),,Corey Pearson,Action:Crime:Thriller
Think Like a Dog (2020),,Gil Junger,Comedy:Drama:Family:Sci-Fi
Night of the Demons (2009),,Kevin Tenney,Comedy:Fantasy:Horror
Luxor (2021),,Zeina Durra,Drama:Romance
Dreams with Sharp Teeth (2008),,Erik Nelson,Documentary:Biography
Paper Planes (2014),,Robert Connolly,Drama:Family
A Month in the Country (1987),,Pat O'Connor,Drama
The Glorias (2020),,Julie Taymor,Biography:Drama:History
At the Gate of the Ghost (2011),,M.L. Pundhevanop Dhewakul,Drama:Mystery
Twenty Bucks (1993),,Keva Rosenfeld,Comedy:Drama
Operation Toussaint: Operation Underground Railroad and the Fight to End Modern Day Slavery (2018),,Nick Nanton:Ramy Romany,Documentary
Poorna (2017),,Rahul Bose:Prashant Pandey,Action:Adventure:Biography:Drama
The Competition (1980),,Joel Oliansky,Drama:Romance:Music
A Song Is Born (1948),,Howard Hawks,Comedy:Music:Musical:Romance
Fay Grim (2006),,Hal Hartley,Action:Comedy:Thriller
Chandni (1989),,Yash Chopra,Drama:Musical:Romance
Late Night Trains (1975),,Aldo Lado,Horror:Thriller
Vazhakku Enn 18/9 (2012),,Balaji Sakthivel,Crime:Drama:Thriller
Take Care (2014),,Liz Tuccillo,Comedy:Drama:Romance
The Last Witness (2018),,Piotr Szkopiak,History:Thriller
The Cleaning Lady (2018),,nan,Crime
Watermelon Man (1970),,Melvin Van Peebles,Comedy
Tirza (2010),,Rudolf van den Berg,Drama
Knock Off (1998),,Hark Tsui,Action:Crime:Thriller
Meeting Evil (2012),,Chris Fisher,Crime:Drama:Mystery:Thriller
Naughty or Nice (2012),,David Mackay,Comedy:Drama:Fantasy
Death Ship (1980),,Alvin Rakoff,Adventure:Horror:Mystery:Thriller
Catchfire (1990),,Dennis Hopper:Alan Smithee,Action:Comedy:Crime:Drama:Romance:Thriller
